epoch,loss,val_loss
0,944.7853393554688,809.0708618164062
1,933.2996826171875,805.7525634765625
2,919.4046630859375,802.0717163085938
3,901.06884765625,797.8002319335938
4,879.6524047851562,790.6080322265625
5,854.847900390625,779.8169555664062
6,825.46435546875,764.2734375
7,792.4529418945312,743.0787353515625
8,755.8340454101562,714.512939453125
9,715.5946044921875,678.0562133789062
10,673.2620849609375,634.2344970703125
11,628.2449340820312,583.4613037109375
12,582.2323608398438,528.5624389648438
13,533.3184204101562,471.8689270019531
14,486.3895263671875,413.3603210449219
15,435.6711120605469,359.1456298828125
16,389.7456970214844,311.35052490234375
17,345.4090881347656,268.62103271484375
18,301.9287109375,233.48776245117188
19,263.9471435546875,205.64260864257812
20,232.5166473388672,183.23892211914062
21,205.50787353515625,165.1500701904297
22,183.1226043701172,150.6191864013672
23,164.8686065673828,137.90261840820312
24,148.92697143554688,126.57666778564453
25,136.3922882080078,116.37022399902344
26,125.9087142944336,107.28559112548828
27,116.81877136230469,99.07555389404297
28,108.31695556640625,91.44361114501953
29,101.0853500366211,85.04127502441406
30,95.61909484863281,79.473388671875
31,90.921630859375,74.4886474609375
32,86.46435546875,70.02851867675781
33,82.58967590332031,66.48995971679688
34,79.47370910644531,63.484195709228516
35,76.93081665039062,60.742008209228516
36,74.87267303466797,58.69784927368164
37,73.57699584960938,57.21936798095703
38,71.85734558105469,56.55693817138672
39,70.89700317382812,56.0740966796875
40,69.92930603027344,55.46150207519531
41,68.85430145263672,54.86933135986328
42,68.51917266845703,53.68050003051758
43,67.64875030517578,53.450050354003906
44,67.0385513305664,52.73532485961914
45,67.2179183959961,52.08914566040039
46,66.93511199951172,52.058555603027344
47,66.8681869506836,51.99066925048828
48,66.4336166381836,51.846923828125
49,66.1557388305664,52.10881805419922
50,66.20130920410156,52.243350982666016
