epoch,loss,val_loss
0,945.0790405273438,789.0941772460938
1,931.1292724609375,778.9807739257812
2,914.0701293945312,766.452392578125
3,893.1651611328125,752.4203491210938
4,867.6141967773438,735.85400390625
5,836.4910888671875,717.2764892578125
6,799.7413330078125,696.4237060546875
7,758.1532592773438,673.30712890625
8,713.4238891601562,647.5713500976562
9,665.1981201171875,618.7136840820312
10,613.4684448242188,586.0958251953125
11,559.694091796875,550.0648193359375
12,508.5489196777344,510.6789245605469
13,459.9752502441406,469.9437255859375
14,412.568115234375,428.43548583984375
15,370.2899169921875,388.0055847167969
16,335.0601501464844,350.5167236328125
17,304.46728515625,315.2420349121094
18,273.8902282714844,283.111083984375
19,249.03472900390625,253.80218505859375
20,226.2230224609375,226.6070098876953
21,203.51947021484375,201.31541442871094
22,183.2731475830078,179.4592742919922
23,166.6494903564453,160.79742431640625
24,150.0301055908203,144.34988403320312
25,137.01678466796875,130.18321228027344
26,124.47550201416016,119.1256332397461
27,114.79667663574219,109.83856964111328
28,106.24259948730469,102.20578002929688
29,99.7548599243164,95.48539733886719
30,93.06260681152344,90.5693359375
31,89.50186920166016,86.09204864501953
32,85.38406372070312,81.71149444580078
33,82.64118194580078,78.03062438964844
34,79.41844940185547,74.29608154296875
35,77.70771789550781,71.2109375
36,76.09790802001953,68.27503967285156
37,74.30764770507812,66.1061782836914
38,72.99980163574219,63.99464797973633
39,72.05619812011719,62.21049499511719
40,71.31463623046875,61.02887725830078
41,70.1649169921875,59.427391052246094
42,69.62818145751953,58.227394104003906
43,69.2305679321289,57.43696594238281
44,68.26533508300781,56.71003341674805
45,68.48902130126953,56.21968078613281
46,67.91641235351562,55.228790283203125
47,67.4820327758789,54.47051239013672
48,67.44353485107422,54.49653244018555
49,67.05340576171875,54.39643096923828
50,66.62024688720703,53.700809478759766
51,66.27104187011719,53.53319549560547
52,66.3844223022461,53.576560974121094
53,65.96524810791016,53.533782958984375
54,66.13257598876953,53.41875076293945
55,65.94782257080078,53.14889907836914
56,65.6159439086914,53.18378448486328
57,65.63922119140625,52.802024841308594
58,65.33769989013672,52.61432647705078
59,65.43766021728516,52.62150955200195
60,65.38602447509766,52.82737350463867
61,65.21776580810547,52.93655014038086
62,64.57823181152344,52.68593978881836
63,64.90825653076172,53.06555938720703
