epoch,loss,val_loss
0,903.8627319335938,339.9580383300781
1,123.1816177368164,55.87823486328125
2,75.03681182861328,54.942020416259766
3,74.73381042480469,55.57038497924805
4,74.6047134399414,53.864013671875
5,74.50492095947266,53.231781005859375
6,74.46736145019531,54.17009735107422
7,74.32683563232422,53.015480041503906
8,74.28101348876953,54.72922897338867
9,74.23202514648438,54.91085433959961
10,74.16923522949219,53.16735076904297
11,74.13479614257812,55.057334899902344
12,74.11651611328125,52.503944396972656
13,74.11607360839844,52.678768157958984
14,74.09848022460938,52.49713897705078
15,74.01508331298828,53.70445251464844
16,73.9941635131836,53.92169952392578
17,74.01911163330078,51.8697395324707
18,73.99153137207031,54.68217468261719
19,73.92200469970703,53.342628479003906
20,73.97714233398438,52.89348220825195
21,73.9935302734375,53.77146530151367
22,73.90223693847656,55.258235931396484
