epoch,loss,val_loss
0,1247.9869384765625,1124.8997802734375
1,1220.9969482421875,1112.14453125
2,1186.2557373046875,1094.7059326171875
3,1140.293701171875,1067.0506591796875
4,1078.9822998046875,1025.02197265625
5,1006.8971557617188,965.7343139648438
6,924.6488037109375,888.62353515625
7,832.3789672851562,794.4771118164062
8,734.7328491210938,688.8712158203125
9,639.6517333984375,583.9429321289062
10,549.17822265625,488.5122375488281
11,470.6614685058594,405.17340087890625
12,401.2101745605469,336.2540588378906
13,340.80645751953125,281.15533447265625
14,293.9815368652344,237.98141479492188
15,251.30776977539062,202.94180297851562
16,216.2410430908203,174.2392578125
17,188.12098693847656,151.1419219970703
18,162.8434600830078,132.0834197998047
19,142.47987365722656,116.21636199951172
20,125.44779968261719,103.29351806640625
21,111.9004135131836,92.57313537597656
22,100.39298248291016,84.08724975585938
23,91.53132629394531,77.35543060302734
24,84.61373138427734,72.24921417236328
25,79.33695983886719,67.43278503417969
26,75.24833679199219,64.25787353515625
27,72.1944808959961,62.07491683959961
28,69.60982513427734,60.10570526123047
29,68.02998352050781,58.55663299560547
30,66.77409362792969,57.4715576171875
31,65.72627258300781,56.732635498046875
32,65.09761047363281,56.46261215209961
33,64.66101837158203,56.50211715698242
34,64.11714935302734,55.89038848876953
35,63.889400482177734,55.070892333984375
36,63.716392517089844,55.07194900512695
37,63.62641143798828,55.054779052734375
38,63.48173904418945,55.20458984375
39,63.361366271972656,54.74533462524414
40,63.346744537353516,55.61537170410156
41,63.44014358520508,55.80760955810547
42,63.33049774169922,55.270606994628906
43,63.1795654296875,54.86722183227539
44,63.218658447265625,54.91849136352539
