epoch,loss,val_loss
0,1442.2310791015625,952.0056762695312
1,784.5068359375,263.1886901855469
2,304.8963317871094,190.84185791015625
3,197.16940307617188,163.74942016601562
4,185.3253936767578,152.91680908203125
5,182.7521209716797,151.18807983398438
6,181.134521484375,151.50611877441406
7,179.9767608642578,149.96856689453125
8,179.6025848388672,150.4542999267578
9,179.11753845214844,148.5342559814453
10,178.5762481689453,150.43341064453125
11,178.50917053222656,148.93875122070312
12,178.11476135253906,145.84844970703125
13,177.79454040527344,148.6608123779297
14,177.4152374267578,147.68023681640625
15,177.2350616455078,148.23468017578125
16,177.5681610107422,148.32691955566406
17,177.11102294921875,148.63063049316406
