epoch,loss,val_loss
0,1616.3232421875,1275.208740234375
1,1401.3248291015625,949.8776245117188
2,1029.6046142578125,636.6153564453125
3,644.0634765625,381.2565002441406
4,392.6401672363281,232.68788146972656
5,266.3423156738281,200.5378875732422
6,215.4053497314453,189.6627655029297
7,197.46548461914062,180.8739776611328
8,189.68699645996094,173.07669067382812
9,185.58250427246094,166.6093292236328
10,183.10284423828125,162.75083923339844
11,181.97129821777344,159.56556701660156
12,180.64236450195312,156.41876220703125
13,180.10633850097656,156.48370361328125
14,179.503662109375,155.50772094726562
15,179.45068359375,154.55873107910156
16,179.1479949951172,155.71881103515625
17,178.97190856933594,155.29388427734375
18,178.60459899902344,154.43992614746094
19,178.2141571044922,154.78343200683594
20,177.92469787597656,153.18406677246094
21,177.95065307617188,154.4689178466797
22,177.91575622558594,154.44818115234375
23,177.8636016845703,154.7306365966797
24,177.7623291015625,153.5278778076172
25,177.50038146972656,154.31863403320312
